"Code point","Rank 1","Rank 2","Unicode name","WP43S usage","Should be","Glyph","Replacement","Code point"
"U+03b6",361,362,"GREEK SMALL LETTER ZETA",,,"ζ","Ζ","U+0396"
"U+03b7",363,364,"GREEK SMALL LETTER ETA",,,"η","Η","U+0397"
"U+03b8",366,367,"GREEK SMALL LETTER THETA",,,"θ","Θ","U+0398"
"U+03b9",368,369,"GREEK SMALL LETTER IOTA",,,"ι","Ι","U+0399"
"U+03ba",374,375,"GREEK SMALL LETTER KAPPA",,,"κ","Κ","U+039a"
"U+03bb",376,377,"GREEK SMALL LETTER LAMDA",,,"λ","Λ","U+039b"
"U+03bc",378,379,"GREEK SMALL LETTER MU",,,"μ","Μ","U+039c"
"U+03bd",382,383,"GREEK SMALL LETTER NU",,,"ν","Ν","U+039d"
"U+03be",384,385,"GREEK SMALL LETTER XI",,,"ξ","Ξ","U+039e"
"U+03bf",386,387,"GREEK SMALL LETTER OMICRON",,,"ο","Ο","U+039f"
"U+03c0",389,391,"GREEK SMALL LETTER PI",,,"π","Π","U+03a0"
"U+03c1",392,393,"GREEK SMALL LETTER RHO",,,"ρ","Ρ","U+03a1"
"U+03c2",394,397,"GREEK SMALL LETTER FINAL SIGMA",,,"ς","Σ","U+03a3"
"U+03c3",394,396,"GREEK SMALL LETTER SIGMA",,,"σ","Σ","U+03a3"
"U+03c4",398,399,"GREEK SMALL LETTER TAU",,,"τ","Τ","U+03a4"
"U+03c5",400,401,"GREEK SMALL LETTER UPSILON",,,"υ","Υ","U+03a5"
"U+03c6",406,407,"GREEK SMALL LETTER PHI",,,"φ","Φ","U+03a6"
"U+03c7",408,409,"GREEK SMALL LETTER CHI",,,"χ","Χ","U+03a7"
"U+03c8",410,411,"GREEK SMALL LETTER PSI",,,"ψ","Ψ","U+03a8"
"U+03c9",412,413,"GREEK SMALL LETTER OMEGA",,,"ω","Ω","U+03a9"
"U+03ca",368,372,"GREEK SMALL LETTER IOTA WITH DIALYTIKA",,,"ϊ","Ι","U+0399"
"U+03cb",400,404,"GREEK SMALL LETTER UPSILON WITH DIALYTIKA",,,"ϋ","Υ","U+03a5"
"U+03cc",386,388,"GREEK SMALL LETTER OMICRON WITH TONOS",,,"ό","Ο","U+039f"
"U+03cd",400,402,"GREEK SMALL LETTER UPSILON WITH TONOS",,,"ύ","Υ","U+03a5"
"U+03ce",412,414,"GREEK SMALL LETTER OMEGA WITH TONOS",,,"ώ","Ω","U+03a9"
"U+1d61",314,316,"MODIFIER LETTER SMALL CHI","Superscript x",,"ᵡ","X","U+0058"
"U+1d64",281,285,"LATIN SUBSCRIPT SMALL LETTER U",,,"ᵤ","U","U+0055"
"U+2003",1,2,"EM SPACE",,," "," ","U+0020"
"U+2004",1,3,"THREE-PER-EM SPACE",,," "," ","U+0020"
"U+2005",1,4,"FOUR-PER-EM SPACE",,," "," ","U+0020"
"U+2006",1,5,"SIX-PER-EM SPACE",,," "," ","U+0020"
"U+2007",1,6,"FIGURE SPACE",,," "," ","U+0020"
"U+2008",1,7,"PUNCTUATION SPACE",,," "," ","U+0020"
"U+200a",1,8,"HAIR SPACE",,," "," ","U+0020"
"U+2018",470,471,"LEFT SINGLE QUOTATION MARK",,,"‘","'","U+0027"
"U+2019",470,472,"RIGHT SINGLE QUOTATION MARK",,,"’","'","U+0027"
"U+201a",470,473,"SINGLE LOW-9 QUOTATION MARK",,,"‚","'","U+0027"
"U+201b",470,474,"SINGLE HIGH-REVERSED-9 QUOTATION MARK",,,"‛","'","U+0027"
"U+201c",475,476,"LEFT DOUBLE QUOTATION MARK",,,"“","""","U+0022"
"U+201d",475,477,"RIGHT DOUBLE QUOTATION MARK",,,"”","""","U+0022"
"U+201e",475,478,"DOUBLE LOW-9 QUOTATION MARK",,,"„","""","U+0022"
"U+201f",475,479,"DOUBLE HIGH-REVERSED-9 QUOTATION MARK",,,"‟","""","U+0022"
"U+2026",459,461,"HORIZONTAL ELLIPSIS",,,"…",".","U+002e"
"U+2027",15,16,"HYPHENATION POINT ","Binary 1","?","‧","1","U+0031"
"U+2065",347,349,"not defined by unicode","Subscript alpha","?","⁥","Α","U+0391"
"U+2066",355,357,"LEFT-TO-RIGHT ISOLATE ","Subscript delta","?","⁦","Δ","U+0394"
"U+2067",378,381,"RIGHT-TO-LEFT ISOLATE ","Subscript mu","?","⁧","Μ","U+039c"
"U+2068",542,544,"FIRST STRONG ISOLATE ","Subscript sun","?","⁨","⊙","U+2299"
"U+2069",545,546,"POP DIRECTIONAL ISOLATE ","Subscript earth","?","⁩","⊕","U+2295"
"U+2070",10,13,"SUPERSCRIPT ZERO",,,"⁰","0","U+0030"
"U+2071",15,20,"SUPERSCRIPT LATIN SMALL LETTER I","Superscript 1","U+00b9","ⁱ","1","U+0031"
"U+2072",439,442,"<reserved> (superscript 2 - 00B2)","Superscript -1","?","⁲","-","U+002d"
"U+2073",116,139,"<reserved> (superscript 3 - 00B3)","Subscript E","?","⁳","E","U+0045"
"U+2074",32,33,"SUPERSCRIPT FOUR",,,"⁴","4","U+0034"
"U+2075",36,37,"SUPERSCRIPT FIVE",,,"⁵","5","U+0035"
"U+2076",40,41,"SUPERSCRIPT SIX",,,"⁶","6","U+0036"
"U+2077",44,45,"SUPERSCRIPT SEVEN",,,"⁷","7","U+0037"
"U+2078",48,49,"SUPERSCRIPT EIGHT",,,"⁸","8","U+0038"
"U+2079",52,53,"SUPERSCRIPT NINE",,,"⁹","9","U+0039"
"U+207a",435,436,"SUPERSCRIPT PLUS SIGN",,,"⁺","+","U+002b"
"U+207b",439,441,"SUPERSCRIPT MINUS",,,"⁻","-","U+002d"
"U+2080",10,14,"SUBSCRIPT ZERO",,,"₀","0","U+0030"
"U+2081",15,21,"SUBSCRIPT ONE",,,"₁","1","U+0031"
"U+2082",23,25,"SUBSCRIPT TWO",,,"₂","2","U+0032"
"U+2083",27,29,"SUBSCRIPT THREE",,,"₃","3","U+0033"
"U+2084",32,34,"SUBSCRIPT FOUR",,,"₄","4","U+0034"
"U+2085",36,38,"SUBSCRIPT FIVE",,,"₅","5","U+0035"
"U+2086",40,42,"SUBSCRIPT SIX",,,"₆","6","U+0036"
"U+2087",44,46,"SUBSCRIPT SEVEN",,,"₇","7","U+0037"
"U+2088",48,50,"SUBSCRIPT EIGHT",,,"₈","8","U+0038"
"U+2089",52,54,"SUBSCRIPT NINE",,,"₉","9","U+0039"
"U+208a",435,437,"SUBSCRIPT PLUS SIGN",,,"₊","+","U+002b"
"U+208b",439,443,"SUBSCRIPT MINUS",,,"₋","-","U+002d"
"U+208f",445,451,"not defined by unicode","Superscript *","?","₏","×","U+00d7"
"U+2090",64,68,"LATIN SUBSCRIPT SMALL LETTER A",,,"ₐ","A","U+0041"
"U+2091",116,119,"LATIN SUBSCRIPT SMALL LETTER E",,,"ₑ","E","U+0045"
"U+2092",215,221,"LATIN SUBSCRIPT SMALL LETTER O",,,"ₒ","O","U+004F"
"U+2093",314,319,"LATIN SUBSCRIPT SMALL LETTER X",,,"ₓ","X","U+0058"
"U+2095",150,155,"LATIN SUBSCRIPT SMALL LETTER H",,,"ₕ","H","U+0048"
"U+2096",182,186,"LATIN SUBSCRIPT SMALL LETTER K",,,"ₖ","K","U+004b"
"U+2097",187,191,"LATIN SUBSCRIPT SMALL LETTER L",,,"ₗ","L","U+004c"
"U+2098",198,202,"LATIN SUBSCRIPT SMALL LETTER M",,,"ₘ","M","U+004d"
"U+2099",203,207,"LATIN SUBSCRIPT SMALL LETTER N",,,"ₙ","N","U+004e"
"U+209a",240,244,"LATIN SUBSCRIPT SMALL LETTER P",,,"ₚ","P","U+0050"
"U+209b",259,263,"LATIN SUBSCRIPT SMALL LETTER S",,,"ₛ","S","U+0053"
"U+209c",271,276,"LATIN SUBSCRIPT SMALL LETTER T",,,"ₜ","T","U+0054"
"U+209e",535,536,"not defined by unicode","Superscript infinity","?","₞","∞","U+221e"
"U+209f",535,537,"not defined by unicode","Subscript infinity","?","₟","∞","U+221e"
"U+20ac",526,528,"EURO SIGN",,,"€","%","U+0025"
"U+2102",94,104,"DOUBLE-STRUCK CAPITAL C",,,"ℂ","C","U+0043"
"U+210e",150,152,"PLANCK CONSTANT",,,"ℎ","H","U+0048"
"U+210f",150,157,"PLANCK CONSTANT OVER TWO PI",,,"ℏ","H","U+0048"
"U+2115",203,214,"DOUBLE-STRUCK CAPITAL N",,,"ℕ","N","U+004e"
"U+211a",245,249,"DOUBLE-STRUCK CAPITAL Q",,,"ℚ","Q","U+0051"
"U+211d",250,258,"DOUBLE-STRUCK CAPITAL R",,,"ℝ","R","U+0052"
"U+2124",336,346,"DOUBLE-STRUCK CAPITAL Z",,,"ℤ","Z","U+005a"
"U+2190",488,488,"LEFTWARDS ARROW",,,"←","←","U+2190"
"U+2191",490,490,"UPWARDS ARROW",,,"↑","↑","U+2191"
"U+2192",486,486,"RIGHTWARDS ARROW",,,"→","→","U+2192"
"U+2193",494,494,"DOWNWARDS ARROW",,,"↓","↓","U+2193"
"U+2195",498,498,"UP DOWN ARROW",,,"↕","↕","U+2195"
"U+21c0",486,487,"RIGHTWARDS HARPOON WITH BARB UPWARDS","Short right arrow","?","⇀","→","U+2192"
"U+21c4",497,497,"RIGHTWARDS ARROW OVER LEFTWARDS ARROW",,,"⇄","⇄","U+21c4"
"U+21c8",710,710,"UPWARDS PAIRED ARROWS","up arrow","remove ?","⇈","⇈","U+21c8"
"U+21c9",490,492,"RIGHTWARDS PAIRED ARROWS ","BST","U+25b3","⇉","↑","U+2191"
"U+21ca",711,711,"DOWNWARDS PAIRED ARROWS","down arrow","remove ?","⇊","⇊","U+21ca"
"U+21cb",494,496,"LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON ","SST","U+25bd","⇋","↓","U+2193"
"U+21cc",499,499,"RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON ","list","?","⇌","⇌","U+21cc"
"U+21cd",488,489,"LEFTWARDS DOUBLE ARROW WITH STROKE ","Undo","U+21b0 or U+21B6","⇍","←","U+2190"
"U+21e7",490,491,"UP_HOLLOW_ARROW",,,"⇧","↑","U+2191"
"U+21e9",494,495,"DOWN_HOLLOW_ARROW",,,"⇩","↓","U+2193"
"U+2200",560,560,"FOR ALL",,,"∀","∀","U+2200"
"U+2201",94,105,"COMPLEMENT",,,"∁","C","U+0043"
"U+2202",560,561,"PARTIAL DIFFERENTIAL",,,"∂","∀","U+2200"
"U+2203",560,562,"THERE EXISTS",,,"∃","∀","U+2200"
"U+2204",560,563,"THERE DOES NOT EXIST",,,"∄","∀","U+2200"
"U+2205",560,564,"EMPTY SET",,,"∅","∀","U+2200"
"U+2206",560,565,"INCREMENT",,,"∆","∀","U+2200"
"U+2207",560,566,"NABLA",,,"∇","∀","U+2200"
"U+2208",560,567,"ELEMENT OF",,,"∈","∀","U+2200"
"U+2209",560,568,"NOT AN ELEMENT OF",,,"∉","∀","U+2200"
"U+220b",560,569,"CONTAINS AS MEMBER",,,"∋","∀","U+2200"
"U+220c",560,570,"DOES NOT CONTAIN AS MEMBER",,,"∌","∀","U+2200"
"U+220e",10,11,"END OF PROOF","Binary 0","?","∎","0","U+0030"
"U+220f",389,390,"N-ARY PRODUCT",,,"∏","Π","U+03a0"
"U+2213",439,444,"MINUS-OR-PLUS SIGN",,,"∓","-","U+002d"
"U+2218",445,448,"RING OPERATOR",,,"∘","×","U+00d7"
"U+2219",445,447,"BULLET OPERATOR",,,"∙","×","U+00d7"
"U+221a",533,533,"SQUARE ROOT",,,"√","√","U+221a"
"U+221b",27,31,"CUBE ROOT",,,"∛","3","U+0033"
"U+221c",314,323,"FOURTH ROOT","xth root","?","∜","X","U+0058"
"U+221d",533,534,"PROPORTIONAL TO",,,"∝","√","U+221a"
"U+221e",535,535,"INFINITY",,,"∞","∞","U+221e"
"U+221f",547,547,"RIGHT ANGLE",,,"∟","∟","U+221f"
"U+2220",549,549,"ANGLE",,,"∠","∠","U+2220"
"U+2221",549,550,"MEASURED ANGLE",,,"∡","∠","U+2220"
"U+2223",507,508,"DIVIDES",,,"∣","|","U+007c"
"U+2224",507,509,"DOES NOT DIVIDE",,,"∤","|","U+007c"
"U+2225",507,510,"PARALLEL TO",,,"∥","|","U+007c"
"U+2226",507,511,"NOT PARALLEL TO",,,"∦","|","U+007c"
"U+2227",501,501,"LOGICAL AND",,,"∧","∧","U+2227"
"U+2228",501,502,"LOGICAL OR",,,"∨","∧","U+2227"
"U+2229",560,571,"INTERSECTION",,,"∩","∀","U+2200"
"U+222a",560,572,"UNION",,,"∪","∀","U+2200"
"U+222b",538,538,"INTEGRAL",,,"∫","∫","U+222b"
"U+222c",538,539,"DOUBLE INTEGRAL",,,"∬","∫","U+222b"
"U+222e",538,540,"CONTOUR INTEGRAL",,,"∮","∫","U+222b"
"U+222f",538,541,"SURFACE INTEGRAL",,,"∯","∫","U+222b"
"U+2236",466,467,"RATIO",,,"∶",":","U+003a"
"U+2243",512,518,"ASYMPTOTICALLY EQUAL TO",,,"≃","≪","U+226a"
"U+2248",512,519,"ALMOST EQUAL TO",,,"≈","≪","U+226a"
"U+2254",512,516,"COLON EQUALS",,,"≔","≪","U+226a"
"U+2258",512,520,"CORRESPONDS TO",,,"≘","≪","U+226a"
"U+2259",512,521,"ESTIMATES",,,"≙","≪","U+226a"
"U+2260",512,522,"NOT EQUAL TO",,,"≠","≪","U+226a"
"U+2261",512,515,"IDENTICAL TO",,,"≡","≪","U+226a"
"U+2264",512,514,"LESS-THAN OR EQUAL TO",,,"≤","≪","U+226a"
"U+2265",512,523,"GREATER-THAN OR EQUAL TO",,,"≥","≪","U+226a"
"U+226a",512,512,"MUCH LESS-THAN",,,"≪","≪","U+226a"
"U+226b",512,525,"MUCH GREATER-THAN",,,"≫","≪","U+226a"
"U+2295",545,545,"CIRCLED PLUS","Subscript earth","?","⊕","⊕","U+2295"
"U+2299",542,542,"CIRCLED DOT OPERATOR","Sun","U+2609","⊙","⊙","U+2299"
"U+229a",542,543,"CIRCLED RING OPERATOR","Subscript sun","?","⊚","⊙","U+2299"
"U+22a4",271,274,"DOWN TACK",,,"⊤","T","U+0054"
"U+22a5",547,548,"UP TACK","Perpendicular","U+27c2","⊥","∟","U+221f"
"U+22bb",501,503,"XOR",,,"⊻","∧","U+2227"
"U+22bc",501,504,"NAND",,,"⊼","∧","U+2227"
"U+22bd",501,505,"NOR",,,"⊽","∧","U+2227"
"U+2308",417,425,"LEFT CEILING",,,"⌈","[","U+005b"
"U+2309",417,426,"RIGHT CEILING",,,"⌉","[","U+005b"
"U+230a",417,427,"LEFT FLOOR",,,"⌊","[","U+005b"
"U+230b",417,428,"RIGHT FLOOR",,,"⌋","[","U+005b"
"U+231a",551,553,"WATCH",,,"⌚","⎙","U+2399"
"U+231b",551,552,"HOURGLASS",,,"⌛","⎙","U+2399"
"U+2399",551,551,"PRINT SCREEN SYMBOL",,,"⎙","⎙","U+2399"
"U+23a1",417,418,"LEFT SQUARE BRACKET UPPER CORNER",,,"⎡","[","U+005b"
"U+23a2",417,419,"LEFT SQUARE BRACKET EXTENSION",,,"⎢","[","U+005b"
"U+23a3",417,420,"LEFT SQUARE BRACKET LOWER CORNER",,,"⎣","[","U+005b"
"U+23a4",417,422,"RIGHT SQUARE BRACKET UPPER CORNER",,,"⎤","[","U+005b"
"U+23a5",417,423,"RIGHT SQUARE BRACKET EXTENSION",,,"⎥","[","U+005b"
"U+23a6",417,424,"RIGHT SQUARE BRACKET LOWER CORNER",,,"⎦","[","U+005b"
"U+2421",573,573,"SYMBOL FOR DELETE","Oblique 1","?","␡","␡","U+2421"
"U+2422",573,574,"BLANK SYMBOL","Oblique 2","?","␢","␡","U+2421"
"U+2423",1,9,"OPEN BOX",,,"␣"," ","U+0020"
"U+2425",573,575,"SYMBOL FOR DELETE FORM TWO","Oblique 3","?","␥","␡","U+2421"
"U+2426",573,576,"SYMBOL FOR SUBSTITUTE FORM TWO","Oblique 4","?","␦","␡","U+2421"
"U+2427",483,484,"not defined by unicode","Cursor","?","␧","_","U+005f"
"U+2428",459,460,"not defined by unicode","DP decimal separator","?","␨",".","U+002e"
"U+2429",457,458,"not defined by unicode","DP decimal separator","?","␩",",","U+002c"
"U+242a",551,554,"not defined by unicode","Battery","?","␪","⎙","U+2399"
"U+242b",490,493,"not defined by unicode","Pgm begin","?","␫","↑","U+2191"
"U+242c",551,555,"not defined by unicode","User mode","?","␬","⎙","U+2399"
"U+242d",558,558,"not defined by unicode","UK","?","␭","␭","U+242d"
"U+242e",558,559,"not defined by unicode","US","?","␮","␭","U+242d"
"U+242f",551,556,"not defined by unicode",,"?","␯","⎙","U+2399"
"U+2430",431,431,,,,"␰","␰","U+2430"
"U+2431",431,432,,,,"␱","␰","U+2430"
"U+2432",431,433,,,,"␲","␰","U+2430"
"U+2433",431,434,,,,"␳","␰","U+2430"
"U+2460",15,22,"CIRCLED DIGIT ONE ","Subscript 1","U+2081","①","1","U+0031"
"U+2461",23,26,"CIRCLED DIGIT TWO","Subscript 2","U+2082","②","2","U+0032"
"U+2462",27,30,"CIRCLED DIGIT THREE","Subscript 3","U+2083","③","3","U+0033"
"U+2463",32,35,"CIRCLED DIGIT FOUR","Subscript 4","U+2084","④","4","U+0034"
"U+2464",36,39,"CIRCLED DIGIT FIVE","Subscript 5","U+2085","⑤","5","U+0035"
"U+2465",40,43,"CIRCLED DIGIT SIX","Subscript 6","U+2086","⑥","6","U+0036"
"U+2466",44,47,"CIRCLED DIGIT SEVEN","Subscript 7","U+2087","⑦","7","U+0037"
"U+2467",48,51,"CIRCLED DIGIT EIGHT","Subscript 8","U+2088","⑧","8","U+0038"
"U+2468",52,55,"CIRCLED DIGIT NINE","Subscript 9","U+2089","⑨","9","U+0039"
"U+2469",56,57,"CIRCLED DIGIT TEN","Subscript 10","?","⑩","⒑","U+2491"
"U+246a",58,58,"CIRCLED DIGIT ELEVEN","Subscript 11","?","⑪","⑪","U+246a"
"U+246b",59,59,"CIRCLED DIGIT TWELVE","Subscript 12","?","⑫","⑫","U+246b"
"U+246c",60,60,"CIRCLED DIGIT THIRTEEN","Subscript 13","?","⑬","⑬","U+246c"
"U+246d",61,61,"CIRCLED DIGIT FOURTEEN","Subscript 14","?","⑭","⑭","U+246d"
"U+246e",62,62,"CIRCLED DIGIT FIFTEEN","Subscript 15","?","⑮","⑮","U+246e"
"U+246f",63,63,"CIRCLED DIGIT SIXTEEN","Subscript 16","?","⑯","⑯","U+246f"
"U+2491",56,56,"NUMBER TEN FULL STOP ","exponent mark","?","⒑","⒑","U+2491"
"U+249c",64,69,"PARENTHESIZED LATIN SMALL LETTER A","Subscript a","U+2090","⒜","A","U+0041"
"U+249d",90,93,"PARENTHESIZED LATIN SMALL LETTER B","Subscript b","?","⒝","B","U+0042"
"U+249e",94,97,"PARENTHESIZED LATIN SMALL LETTER C","Subscript c","?","⒞","C","U+0043"
"U+249f",106,109,"PARENTHESIZED LATIN SMALL LETTER D","Subscript d","?","⒟","D","U+0044"
"U+24a0",116,120,"PARENTHESIZED LATIN SMALL LETTER E","Subscript e","U+2091","⒠","E","U+0045"
"U+24a1",140,142,"PARENTHESIZED LATIN SMALL LETTER F","Superscript f","?","⒡","F","U+0046"
"U+24a2",144,146,"PARENTHESIZED LATIN SMALL LETTER G","Superscript g","?","⒢","G","U+0047"
"U+24a3",150,153,"PARENTHESIZED LATIN SMALL LETTER H","Superscript h","?","⒣","H","U+0048"
"U+24a4",158,161,"PARENTHESIZED LATIN SMALL LETTER I","Subscript i","U+1d62","⒤","I","U+0049"
"U+24a5",178,181,"PARENTHESIZED LATIN SMALL LETTER J","Subscript j","U+2c7c","⒥","J","U+004a"
"U+24a6",182,185,"PARENTHESIZED LATIN SMALL LETTER K","Subscript k","U+2096","⒦","K","U+004b"
"U+24a7",187,190,"PARENTHESIZED LATIN SMALL LETTER L","Subscript l","U+2097","⒧","L","U+004c"
"U+24a8",198,201,"PARENTHESIZED LATIN SMALL LETTER M","Subscript m","U+2098","⒨","M","U+004d"
"U+24a9",203,206,"PARENTHESIZED LATIN SMALL LETTER N","Subscript n","U+2099","⒩","N","U+004e"
"U+24aa",215,220,"PARENTHESIZED LATIN SMALL LETTER O","Subscript o","U+2092","⒪","O","U+004f"
"U+24ab",240,243,"PARENTHESIZED LATIN SMALL LETTER P","Subscript p","U+209A","⒫","P","U+0050"
"U+24ac",245,248,"PARENTHESIZED LATIN SMALL LETTER Q","Subscript q","?","⒬","Q","U+0051"
"U+24ad",250,252,"PARENTHESIZED LATIN SMALL LETTER R","Superscript r","U+1d63","⒭","R","U+0052"
"U+24ae",259,262,"PARENTHESIZED LATIN SMALL LETTER S","Subscript s","U+209b","⒮","S","U+0053"
"U+24af",271,273,"PARENTHESIZED LATIN SMALL LETTER T","Superscript T","?","⒯","T","U+0054"
"U+24b0",281,284,"PARENTHESIZED LATIN SMALL LETTER U","Subscript u","U+1d64","⒰","U","U+0055"
"U+24b1",304,307,"PARENTHESIZED LATIN SMALL LETTER V","Subscript v","U+1d65","⒱","V","U+0056"
"U+24b2",308,311,"PARENTHESIZED LATIN SMALL LETTER W","Subscript w","?","⒲","W","U+0057"
"U+24b3",314,318,"PARENTHESIZED LATIN SMALL LETTER X","Subscript x","U+2093","⒳","X","U+0058"
"U+24b4",324,327,"PARENTHESIZED LATIN SMALL LETTER Y","Subscript y","?","⒴","Y","U+0059"
"U+24b5",336,339,"PARENTHESIZED LATIN SMALL LETTER Z","Subscript z","?","⒵","Z","U+005a"
"U+24b6",64,67,"CIRCLED LATIN CAPITAL LETTER A","Subscript A","?","Ⓐ","A","U+0041"
"U+24b7",90,92,"CIRCLED LATIN CAPITAL LETTER B","Subscript B","?","Ⓑ","B","U+0042"
"U+24b8",94,96,"CIRCLED LATIN CAPITAL LETTER C","Subscript C","?","Ⓒ","C","U+0043"
"U+24b9",106,108,"CIRCLED LATIN CAPITAL LETTER D","Subscript D","?","Ⓓ","D","U+0044"
"U+24ba",116,118,"CIRCLED LATIN CAPITAL LETTER E","Subscript E","?","Ⓔ","E","U+0045"
"U+24bb",140,143,"CIRCLED LATIN CAPITAL LETTER F","Subscript F","?","Ⓕ","F","U+0046"
"U+24bc",144,147,"CIRCLED LATIN CAPITAL LETTER G","Subscript G","?","Ⓖ","G","U+0047"
"U+24bd",150,154,"CIRCLED LATIN CAPITAL LETTER H","Subscript H","?","Ⓗ","H","U+0048"
"U+24be",158,160,"CIRCLED LATIN CAPITAL LETTER I","Subscript I","?","Ⓘ","I","U+0049"
"U+24bf",178,180,"CIRCLED LATIN CAPITAL LETTER J","Subscript J","?","Ⓙ","J","U+004a"
"U+24c0",182,184,"CIRCLED LATIN CAPITAL LETTER K","Subscript K","?","Ⓚ","K","U+004b"
"U+24c1",187,189,"CIRCLED LATIN CAPITAL LETTER L","Subscript L","?","Ⓛ","L","U+004c"
"U+24c2",198,200,"CIRCLED LATIN CAPITAL LETTER M","Subscript M","?","Ⓜ","M","U+004d"
"U+24c3",203,205,"CIRCLED LATIN CAPITAL LETTER N","Subscript N","?","Ⓝ","N","U+004e"
"U+24c4",215,219,"CIRCLED LATIN CAPITAL LETTER O","Subscript O","?","Ⓞ","O","U+004f"
"U+24c5",240,242,"CIRCLED LATIN CAPITAL LETTER P","Subscript P","?","Ⓟ","P","U+0050"
"U+24c6",245,247,"CIRCLED LATIN CAPITAL LETTER Q","Subscript Q","?","Ⓠ","Q","U+0051"
"U+24c7",250,253,"CIRCLED LATIN CAPITAL LETTER R","Subscript R","?","Ⓡ","R","U+0052"
"U+24c8",259,261,"CIRCLED LATIN CAPITAL LETTER S","Subscript S","?","Ⓢ","S","U+0053"
"U+24c9",271,275,"CIRCLED LATIN CAPITAL LETTER T","Subscript T","?","Ⓣ","T","U+0054"
"U+24ca",281,283,"CIRCLED LATIN CAPITAL LETTER U","Subscript U","?","Ⓤ","U","U+0055"
"U+24cb",304,306,"CIRCLED LATIN CAPITAL LETTER V","Subscript V","?","Ⓥ","V","U+0056"
"U+24cc",308,310,"CIRCLED LATIN CAPITAL LETTER W","Subscript W","?","Ⓦ","W","U+0057"
"U+24cd",314,317,"CIRCLED LATIN CAPITAL LETTER X","Subscript X","?","Ⓧ","X","U+0058"
"U+24ce",324,326,"CIRCLED LATIN CAPITAL LETTER Y","Subscript Y","?","Ⓨ","Y","U+0059"
"U+24cf",336,338,"CIRCLED LATIN CAPITAL LETTER Z","Subscript Z","?","Ⓩ","Z","U+005a"
"U+2713",577,577,"CHECK MARK",,,"✓","✓","U+2713"
