"Code point","Rank 1","Rank 2","Unicode name","WP43S usage","Should be","Glyph","Replacement","Code point"
"U+0076",304,305,"LATIN SMALL LETTER V",,,"v","V","U+0056"
"U+0077",308,309,"LATIN SMALL LETTER W",,,"w","W","U+0057"
"U+0078",314,315,"LATIN SMALL LETTER X",,,"x","X","U+0058"
"U+0079",324,325,"LATIN SMALL LETTER Y",,,"y","Y","U+0059"
"U+007a",336,337,"LATIN SMALL LETTER Z",,,"z","Z","U+005a"
"U+007b",429,429,"LEFT CURLY BRACKET",,,"{","{","U+007b"
"U+007c",507,507,"VERTICAL LINE",,,"|","|","U+007c"
"U+007d",429,430,"RIGHT CURLY BRACKET",,,"}","{","U+007b"
"U+007e",485,485,"TILDE",,,"~","~","U+007e"
"U+00a1",462,463,"INVERTED EXCLAMATION MARK",,,"¡","!","U+0021"
"U+00a2",526,529,"CENT SIGN",,,"¢","%","U+0025"
"U+00a3",526,530,"POUND SIGN",,,"£","%","U+0025"
"U+00a5",526,531,"YEN SIGN",,,"¥","%","U+0025"
"U+00a7",526,532,"SECTION SIGN",,,"§","%","U+0025"
"U+00a9",215,218,"COPYRIGHT SIGN","Overflow Carry","?","©","O","U+004f"
"U+00aa",64,66,"FEMININE ORDINAL INDICATOR",,,"ª","A","U+0041"
"U+00ab",475,480,"LEFT-POINTING DOUBLE ANGLE QUOTATION MARK",,,"«","""","U+0022"
"U+00ac",500,500,"NOT SIGN",,,"¬","¬","U+00ac"
"U+00b0",10,12,"DEGREE SIGN",,,"°","0","U+0030"
"U+00b1",435,438,"PLUS-MINUS SIGN",,,"±","+","U+002b"
"U+00b2",23,24,"SUPERSCRIPT TWO",,,"²","2","U+0032"
"U+00b3",27,28,"SUPERSCRIPT THREE",,,"³","3","U+0033"
"U+00b5",378,380,"MICRO SIGN",,,"µ","Μ","U+039c"
"U+00b7",445,446,"MIDDLE DOT",,,"·","×","U+00d7"
"U+00b9",15,19,"SUPERSCRIPT ONE",,,"¹","1","U+0031"
"U+00ba",215,217,"MASCULINE ORDINAL INDICATOR",,,"º","O","U+004f"
"U+00bb",475,481,"RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK",,,"»","""","U+0022"
"U+00bc",15,17,"VULGAR FRACTION ONE QUARTER","1/2","U+00bd","¼","1","U+0031"
"U+00bd",15,18,"VULGAR FRACTION ONE HALF","1/4","U+00bc","½","1","U+0031"
"U+00bf",464,465,"INVERTED QUESTION MARK",,,"¿","?","U+003f"
"U+00c0",64,70,"LATIN CAPITAL LETTER A WITH GRAVE",,,"À","A","U+0041"
"U+00c1",64,72,"LATIN CAPITAL LETTER A WITH ACUTE",,,"Á","A","U+0041"
"U+00c2",64,74,"LATIN CAPITAL LETTER A WITH CIRCUMFLEX",,,"Â","A","U+0041"
"U+00c3",64,76,"LATIN CAPITAL LETTER A WITH TILDE",,,"Ã","A","U+0041"
"U+00c4",64,78,"LATIN CAPITAL LETTER A WITH DIAERESIS",,,"Ä","A","U+0041"
"U+00c5",64,80,"LATIN CAPITAL LETTER A WITH RING ABOVE",,,"Å","A","U+0041"
"U+00c6",64,82,"LATIN CAPITAL LETTER AE",,,"Æ","A","U+0041"
"U+00c7",94,98,"LATIN CAPITAL LETTER C WITH CEDILLA",,,"Ç","C","U+0043"
"U+00c8",116,121,"LATIN CAPITAL LETTER E WITH GRAVE",,,"È","E","U+0045"
"U+00c9",116,123,"LATIN CAPITAL LETTER E WITH ACUTE",,,"É","E","U+0045"
"U+00ca",116,125,"LATIN CAPITAL LETTER E WITH CIRCUMFLEX",,,"Ê","E","U+0045"
"U+00cb",116,127,"LATIN CAPITAL LETTER E WITH DIAERESIS",,,"Ë","E","U+0045"
"U+00cc",158,162,"LATIN CAPITAL LETTER I WITH GRAVE",,,"Ì","I","U+0049"
"U+00cd",158,164,"LATIN CAPITAL LETTER I WITH ACUTE",,,"Í","I","U+0049"
